"","SITECODE","LCODE","SDATE","Q1","Q2","ALKY","SODIUM","SO4S","TOTALN","ALUMINIUM","CALCIUM","CHLORIDE","CONDY","DOC","IRON","MAGNESIUM","NH4N","NO3N","PH","PHAQCS","PHAQCU","PO4P","POTASSIUM","MINTMP","MAXTMP","DEPTH","SPAWNDATE","SURFAREA","PERCDEAD","NEWMASS","HATCHDATE","CONGDATE","PH1","PH2","PH3","LEAVEDATE","Q3","TOTALP","COLOUR","PH4","PH5","PH6","Q4","survey_yearday","survey_year","spawn_yearday","spawn_year","hatch_yearday","hatch_year","cong_yearday","cong_year","leave_yearday","leave_year","nh4n_numeric","no3n_numeric","surfarea_numeric","percdead_numeric"
"763","T05",1,"09-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.8","7.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764","T05",1,"10-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.1","8.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","T05",1,"11-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.8","7.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766","T05",1,"12-Feb-97",NA,NA,NA,"12.114","3.602",NA,NA,"7.726","30.005",NA,NA,NA,"4.237",NA,"1.382","5.68","4.19","4.64","0.001","1.039","6.9","8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.382,NA,NA
"767","T05",1,"13-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.3","6.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768","T05",1,"14-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.9","5.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769","T01",1,"14-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"770","T05",1,"15-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.9","6.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771","T05",1,"16-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.1","7.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772","T05",1,"17-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.1","6.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","T05",1,"18-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.1","6.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774","T05",1,"19-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.9","7.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775","T05",1,"20-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.3","7.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776","T05",1,"21-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8","8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777","T01",1,"21-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"778","T05",1,"22-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.3","8.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779","T05",1,"23-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.1","9.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780","T05",1,"24-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8","7.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781","T01",1,"24-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"782","T05",1,"25-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8","8.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783","T05",1,"26-Feb-97",NA,NA,NA,"11.626","2.241",NA,NA,"6.133","25.805",NA,NA,NA,"2.908",NA,"0.056","6.12","4.22","4.95","0.002","0.758","6","7.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA
"784","T05",1,"27-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5","7.8",NA,NA,NA,NA,NA,"27-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1997,NA,NA,57,1997,NA,NA,NA,NA,NA,NA,NA,NA
"785","T05",1,"28-Feb-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.3","8.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786","T06",1,"01-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1997,59,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787","T05",1,"01-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","8.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788","T06",1,"02-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"789","T05",1,"02-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","9.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790","T06",1,"03-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","18","16",NA,"0","0","2",NA,NA,"7.2","7.3","7.2",NA,NA,NA,NA,NA,NA,NA,NA,61,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"791","T01",1,"03-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"792","T05",1,"03-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.4","7.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","T11",1,"04-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1997,62,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","T05",1,"04-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.8","8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"795","T05",1,"05-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.9","8.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"796","T04",5,"05-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"797","T04",2,"05-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"798","T04",4,"05-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"799","T11",1,"06-Mar-97","175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.1",NA,"0.5","0","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0
"800","T05",1,"06-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.2","8.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"801","T05",1,"07-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5","8.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"802","T02",2,"07-Mar-97","999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","7","61",NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"803","T01",1,"07-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"804","T09",1,"08-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1997,NA,NA,NA,NA,66,1997,NA,NA,NA,NA,NA,NA
"805","T05",1,"08-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","9.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806","T05",1,"09-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.2","9.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"807","T03",1,"09-Mar-97","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"808","T09",1,"10-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1997,68,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"809","T01",1,"10-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"810","T06",1,"10-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1","0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0
"811","T05",1,"10-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.5","10.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"812","T03",1,"10-Mar-97","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10-Mar-97","4.5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,1997,68,1997,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0
"813","T05",1,"11-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.1","10.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814","T03",1,"11-Mar-97","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0
"815","T02",2,"11-Mar-97","999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.5","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,5
"816","T03",1,"12-Mar-97","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5","5",NA,NA,NA,"6.4","6.3","6.3",NA,NA,NA,NA,NA,NA,NA,NA,70,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5
"817","T11",1,"12-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7","14","4.1",NA,"1.7","20","45",NA,NA,"5.5","5.9","5.4",NA,NA,NA,NA,NA,NA,NA,NA,70,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,20
"818","T09",1,"12-Mar-97",NA,NA,NA,"22.882","7.358",NA,"0","52.293","49.1",NA,NA,"0.035","3.419","0","0.036","7.8","3.97","3.95","0","2.029","8","19","30",NA,"0.6","0","3",NA,NA,"7.8","7.8","7.8",NA,NA,NA,NA,NA,NA,NA,NA,70,1997,NA,NA,NA,NA,NA,NA,NA,NA,0,0.036,0.6,0
"819","T05",1,"12-Mar-97",NA,NA,NA,"11.902","2.331",NA,NA,"7.238","30.563",NA,NA,NA,"3.448",NA,"0.035","6.76","4.14","4.92","0.002","0.439","6.9","10.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA
"820","T05",1,"13-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.5","10.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821","T04",5,"13-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,"13-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,1997,NA,NA,NA,NA,71,1997,NA,NA,NA,NA,0,0
"822","T04",4,"13-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"823","T04",2,"13-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"824","T05",1,"14-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.5","13.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825","T01",1,"14-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","10","25","14-Mar-97","0.2","0","1",NA,NA,"7.1","7.1","7.1",NA,NA,NA,NA,NA,NA,NA,NA,72,1997,72,1997,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0
"826","T05",1,"15-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.8","11.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827","T03",1,"15-Mar-97","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5
"828","T05",1,"16-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.3","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"829","T05",1,"17-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.9","12.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830","T02",2,"17-Mar-97","172","173","8.29","6.63","1.78",NA,"0.036","3.67","9.28","55","4.79","0.02","1.277","0.037","0","6",NA,NA,"0","0.762","1","10","62","17-Mar-97","1","0","13",NA,NA,"6","6.2","6.1",NA,"175",NA,NA,NA,NA,NA,NA,75,1997,75,1997,NA,NA,NA,NA,NA,NA,0.037,0,1,0
"831","T01",1,"17-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.2","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0
"832","T02",1,"17-Mar-97","511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833","T06",1,"18-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","19","14.5",NA,"0.1","0","1",NA,NA,"7.3","7.2","7.5",NA,NA,NA,NA,NA,NA,NA,NA,76,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0
"834","T02",2,"18-Mar-97","173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.8","1","17",NA,"18-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,1997,NA,NA,NA,NA,76,1997,NA,NA,NA,NA,1.8,1
"835","T05",1,"18-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.9","13.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836","T04",4,"19-Mar-97","507","509","0","3.09","0.58","0.67","0.09","0.91","5.1","37.2","8.4","0.41","0.33","0.25","0.039","4.84","4.05","4.12","0","0.44",NA,NA,NA,NA,"0","0","0",NA,"19-Mar-97",NA,NA,NA,NA,"999","0","0.04",NA,NA,NA,NA,77,1997,NA,NA,NA,NA,77,1997,NA,NA,0.25,0.039,0,0
"837","T03",1,"19-Mar-97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.5","6.4","6.4",NA,NA,NA,NA,NA,NA,NA,NA,77,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
